"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1,C8,C12,C17,C18,C24","56u","","~","6","","",""
"C3,C7,C22","4.7u","","~","3","","",""
"C4,C10,C11,C14,C16,C19,C20,C21","100n","","~","8","","",""
"C6","47u","","~","1","","",""
"C9,C15","470n","","~","2","","",""
"C23","1u","","~","1","","",""
"D1,D2,D3","GREEN","","~","3","","",""
"D4,D5","D","","~","2","","",""
"J1","Conn_01x02_Pin","","~","1","","",""
"J2","SP_01x02_Pin","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","1","","",""
"J3","SYS-1x2","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","1","","",""
"J4","3.3V_PULLUP_01x01_Pin","","~","1","","",""
"J5","BATT_01x02_Pin","","~","1","","",""
"J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16","Conn-1x2","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","11","","",""
"J17","SCL_MAS_01x01_Pin","","~","1","","",""
"J18","SDA_MAS_01x01_Pin","","~","1","","",""
"L2","10u","","~","1","","",""
"Q5,Q6,Q7,Q8","AONS66614","AON6482","https://4donline.ihs.com/images/VipMasterIC/IC/ALOM/ALOM-S-A0020443660/ALOM-S-A0020443776-1.pdf?hkey=EF798316E3902B6ED9A73243A3159BB0","4","","",""
"R1","75k","","~","1","","",""
"R2","200k","","~","1","","",""
"R3","1M","","~","1","","",""
"R4,R5,R7,R12,R14","10","","~","5","","",""
"R6,R13","5m","","~","2","","",""
"R8","1.8k","","~","1","","",""
"R9","4.99k","","~","1","","",""
"R10","250k","","~","1","","",""
"R15","25k","","~","1","","",""
"R16,R17,R18,R19,R20,R21,R22,R26","10k","","~","8","","",""
"R23","40k","","~","1","","",""
"R24","30.1k","","~","1","","",""
"R25","5.23k","","~","1","","",""
"R28","100k","","~","1","","",""
"R29","3k","","~","1","","",""
"RT1","103AT-2","103AT-2:103AT-2","","1","","",""
"U1","BQ25756RRVR","VQFN36_RRV_TEX","BQ25756RRVR","1","","",""
